Gua Laumehe,"JFG8+8GQ, Wantopi, Buton Regency",-5.3741551,122.466355,"tourist_attraction, point_of_interest, establishment",ChIJpbHpNZuHoy0Rf1MiDj42CL8
Gua Liangkobori,"4M25+CVF, Kotano Wuna, Muna Regency",-4.8989263,122.6596683,"museum, point_of_interest, establishment",ChIJVzsGlye0oy0RLd2_QvTyymg
Gua maasima,"3QF3+4HG, Lakarinta, Muna Regency",-4.9271985,122.7539613,"tourist_attraction, point_of_interest, establishment",ChIJO2M9HgDJoy0Rkhe9I8pWUGk
Gua Maria Baubau,"HMW7+VVC, Jl. Anoa, Liabuku, Kota Bau-Bau",-5.4028085,122.664636,"museum, point_of_interest, establishment",ChIJBa-U3TN1pC0RPQbuR3wF_wc
"Gua Maria Liabuku, Bungi, kota Bau-bau sulawesi tenggara","HMV6+GWX, Liabuku, Bau-Bau City",-5.4061274,122.6623622,"place_of_worship, point_of_interest, establishment",ChIJozwvmo91pC0RvvVwuKTV0J0
Gua Mata Air Bone,"RFGM+RMP, Dekat, Matombura, Kabupaten Muna",-5.1729071,122.4841908,"tourist_attraction, point_of_interest, establishment",ChIJmW8mplOboy0RSjvrwI1JHJo
Gua Mata Air Kamonu,"RH6J+X3R, Oempu, Muna Regency",-5.1875086,122.5801442,"tourist_attraction, point_of_interest, establishment",ChIJdz-1VyqXoy0Rrizit-EXQXc
Gua Meleura,"3QC4+W4W, Gua Meleura, Lakarinta, Kabupaten Muna",-4.9276398,122.7553152,"point_of_interest, establishment",ChIJmxMPUazJoy0RSmeiPyBpu30
Gua Moko,"M729+6GF, Wakambangura, Kabupaten Buton Tengah",-5.3494461,122.2687987,"tourist_attraction, point_of_interest, establishment",ChIJE_jQMSV5oy0ReIy8OKqhCCg
Gua Pingilai,"M8W5+5X, Wasilomata II, Buton Regency",-5.3045733,122.3099753,"tourist_attraction, point_of_interest, establishment",ChIJy0eqwhF5oy0Rz0URLDFxnUw
Gua Pominsa Prehistoric Rock Art,"3MQC+Q6, Kotano Wuna, Muna Regency",-4.9105556,122.6705278,"point_of_interest, establishment",ChIJvxedBwC3oy0ROdd60IvpPiY
Gua Titalo,"3PWV+27R, Unnamed Road, Lohia, Kabupaten Muna",-4.9048908,122.743138,"point_of_interest, establishment",ChIJo4h0M2HJoy0Rwm0vZ3NdetE
Intan Hole,"Q44M+GFH, Nambo Jaya, Konawe Regency",-4.2436855,123.1337468,"tourist_attraction, point_of_interest, establishment",ChIJCXcwVwD_oS0RqWsdi2t__fQ
Jl. Loji,Muna Regency,-4.8938344,122.6608632,route,ChIJ58SfODC0oy0RDoiBAfMNfkg
Jual beli tanaman hias,"Lahandua, dusun Lembah Harapan, RT.8/RW.3, Abadi Jaya, Muna Barat",-4.8421224,122.3700167,"home_goods_store, store, point_of_interest, establishment",ChIJN_yxkLtVoi0RsyqtOR5pulE
Kadai Ula,"Wadiabero, Buton Regency",-5.3455188,122.6116619,"tourist_attraction, point_of_interest, establishment",ChIJbTWtxGiJoy0RbHpLnnYJl3c
Kadena Glamping Dive Resort - Muna Island,"Jl. Poros Lombe No.Desa, RW.Kamama, Wakea Kea, Buton Tengah",-5.3155071,122.6334774,"lodging, point_of_interest, establishment",ChIJddNhA0ONoy0Rav0vz7wWv80
Kalimalima Waterfall,"5VQV+7WC, Moolo, Muna Regency",-4.8118105,122.8947726,"tourist_attraction, point_of_interest, establishment",ChIJ4Sm33qsyoi0RRU4czcykuME
Kamali Plt Raja Muna,"5P88+W8J, Mangga Kuning, Muna Regency",-4.8326037,122.7157621,"lodging, point_of_interest, establishment",ChIJ5XZXBIG1oy0RoUw7KY2rgWk
Kamama Mekar,"MJPQ+R98, Rahia, Buton Regency",-5.3129571,122.6384381,"point_of_interest, establishment",ChIJJYy0bAeNoy0RijUZGKUOZiI
Kelapa Gading Water Park,"JMGX+P6R, Waliabuku, Bau-Bau City",-5.3731416,122.6980122,"tourist_attraction, amusement_park, point_of_interest, establishment",ChIJ11wr4cKKoy0RuMN6A-ERass
Kolam permandian air mumbul opojan,"RQG2+C3, Todanga, Buton Regency",-5.1739375,122.7501875,"tourist_attraction, point_of_interest, establishment",ChIJP3flACvroy0RZI6UIwWQEgA
Kolam Permandian Liabuku,"HMX7+7VH, Liabuku, Bau-Bau City",-5.4018173,122.6647461,"point_of_interest, establishment",ChIJwXyg8lV1pC0RxL_2HDPnFss
Kolam Renang Banyu Biru,"JMGP+HVW, Ngkari-Ngkari, Bau-Bau City",-5.3735145,122.6872062,"tourist_attraction, point_of_interest, establishment",ChIJw1-qFd6Loy0R0Axl3fqBXqg
Kolam Renang Raha,"5P9H+HVF, Pulau, Muna Regency",-4.8310554,122.7296843,"point_of_interest, establishment",ChIJ8R9h17HKoy0Rl0EnWO4gBdI
Kolam renang RORAYA KEREN,"H532+7V, Roraya, South Konawe Regency",-4.446849,122.152249,"tourist_attraction, point_of_interest, establishment",ChIJO9gRPgCRoi0RpOx1Mhwkigg
Kotaeono Cave,"MJVV+74Q, Desa, Dusun Uncume, Rahia, Kabupaten Buton Tengah",-5.3067777,122.6428585,"tourist_attraction, point_of_interest, establishment",ChIJtxpB2NqNoy0RWcDwyyRKqkY
